epoch,batch,loss
1,10,2.2950
1,20,2.1998
1,30,2.0743
1,40,1.9400
1,50,1.9265
1,60,1.8964
1,70,1.8677
1,80,1.7509
1,90,1.7186
1,100,1.6126
1,110,1.6050
1,120,1.5490
1,130,1.4996
1,140,1.4386
1,150,1.3823
1,160,1.3761
1,170,1.3034
1,180,1.4009
1,190,1.2526
1,200,1.2757
1,210,1.2914
1,220,1.2794
1,230,1.1874
1,240,1.1968
1,250,1.2131
1,260,1.2100
1,270,1.2494
1,280,1.2138
1,290,1.1589
1,300,1.1513
1,310,1.1257
1,320,1.0890
1,330,1.0745
1,340,1.1343
1,350,1.0971
1,360,1.1911
1,370,1.1242
1,380,1.0603
1,390,1.0582
1,400,1.0453
1,410,1.0525
1,420,1.0393
1,430,0.9861
1,440,1.0240
1,450,1.0343
1,460,0.9751
1,470,0.9255
1,480,1.0154
1,490,1.0005
1,500,0.9736
1,510,0.9874
1,520,0.9413
1,530,0.9248
1,540,0.9260
1,550,0.9809
1,560,0.9271
1,570,0.9185
1,580,0.9629
1,590,1.0518
1,600,0.9881
1,610,0.8817
1,620,0.8257
1,630,0.9036
1,640,0.8449
1,650,0.8912
1,660,0.8316
1,670,0.8811
1,680,0.8659
1,690,0.8150
1,700,0.8688
1,710,0.8155
1,720,0.8421
1,730,0.9338
1,740,0.8605
1,750,0.8098
1,760,0.7696
1,770,0.8334
1,780,0.8597
1,790,0.7341
1,800,0.9085
1,810,0.8314
1,820,0.8511
1,830,0.8303
1,840,0.8188
1,850,0.7213
1,860,0.7461
1,870,0.7566
1,880,0.7805
1,890,0.6916
1,900,0.7522
1,910,0.7784
1,920,0.8023
1,930,0.6669
2,10,0.7438
2,20,0.6813
2,30,0.7217
2,40,0.7500
2,50,0.7126
2,60,0.8015
2,70,0.7289
2,80,0.6895
2,90,0.7781
2,100,0.6117
2,110,0.6647
2,120,0.6551
2,130,0.5779
2,140,0.6456
2,150,0.6864
2,160,0.6825
2,170,0.7012
2,180,0.6382
2,190,0.5489
2,200,0.5515
2,210,0.5573
2,220,0.5672
2,230,0.5945
2,240,0.6026
2,250,0.6621
2,260,0.5898
2,270,0.6680
2,280,0.5680
2,290,0.5666
2,300,0.6200
2,310,0.6845
2,320,0.6281
2,330,0.6248
2,340,0.5327
2,350,0.5268
2,360,0.5010
2,370,0.7573
2,380,0.7248
2,390,0.5642
2,400,0.4928
2,410,0.5971
2,420,0.5523
2,430,0.5629
2,440,0.5562
2,450,0.5883
2,460,0.5938
2,470,0.5060
2,480,0.5175
2,490,0.5407
2,500,0.5466
2,510,0.5489
2,520,0.5692
2,530,0.4978
2,540,0.5542
2,550,0.5991
2,560,0.5933
2,570,0.6192
2,580,0.5584
2,590,0.5357
2,600,0.4842
2,610,0.5629
2,620,0.5341
2,630,0.4704
2,640,0.4894
2,650,0.5462
2,660,0.5635
2,670,0.4799
2,680,0.5489
2,690,0.4899
2,700,0.4713
2,710,0.5223
2,720,0.5206
2,730,0.5180
2,740,0.4923
2,750,0.5132
2,760,0.3967
2,770,0.4944
2,780,0.4709
2,790,0.5138
2,800,0.5548
2,810,0.5077
2,820,0.5011
2,830,0.5081
2,840,0.4524
2,850,0.4983
2,860,0.4453
2,870,0.4214
2,880,0.5050
2,890,0.4904
2,900,0.5032
2,910,0.4350
2,920,0.4211
2,930,0.3971
3,10,0.3629
3,20,0.3408
3,30,0.4211
3,40,0.4386
3,50,0.4589
3,60,0.4091
3,70,0.4326
3,80,0.4714
3,90,0.3982
3,100,0.4391
3,110,0.3680
3,120,0.3893
3,130,0.4600
3,140,0.3988
3,150,0.3530
3,160,0.4204
3,170,0.3221
3,180,0.4186
3,190,0.4440
3,200,0.4863
3,210,0.4046
3,220,0.4599
3,230,0.3105
3,240,0.3990
3,250,0.4084
3,260,0.3858
3,270,0.4194
3,280,0.3517
3,290,0.3695
3,300,0.3710
3,310,0.4199
3,320,0.3663
3,330,0.4118
3,340,0.4362
3,350,0.3913
3,360,0.4504
3,370,0.4698
3,380,0.3426
3,390,0.4515
3,400,0.3689
3,410,0.4310
3,420,0.3706
3,430,0.4406
3,440,0.4303
3,450,0.3657
3,460,0.4003
3,470,0.3888
3,480,0.2886
3,490,0.3297
3,500,0.4734
3,510,0.4904
3,520,0.5281
3,530,0.4218
3,540,0.4312
3,550,0.5163
3,560,0.3913
3,570,0.3699
3,580,0.4045
3,590,0.5534
3,600,0.3817
3,610,0.4063
3,620,0.3834
3,630,0.3002
3,640,0.3302
3,650,0.3817
3,660,0.3011
3,670,0.3696
3,680,0.3399
3,690,0.3691
3,700,0.3495
3,710,0.3505
3,720,0.3319
3,730,0.3220
3,740,0.4220
3,750,0.3093
3,760,0.3473
3,770,0.3556
3,780,0.4066
3,790,0.3899
3,800,0.3437
3,810,0.5716
3,820,0.4308
3,830,0.3298
3,840,0.3744
3,850,0.3570
3,860,0.3984
3,870,0.3553
3,880,0.4362
3,890,0.3236
3,900,0.3418
3,910,0.3154
3,920,0.3583
3,930,0.3133
4,10,0.3078
4,20,0.3011
4,30,0.3066
4,40,0.3034
4,50,0.2701
4,60,0.4085
4,70,0.3139
4,80,0.2731
4,90,0.3624
4,100,0.3725
4,110,0.2328
4,120,0.2964
4,130,0.3399
4,140,0.3314
4,150,0.3321
4,160,0.3664
4,170,0.3175
4,180,0.3669
4,190,0.3271
4,200,0.2844
4,210,0.3000
4,220,0.4028
4,230,0.3608
4,240,0.3040
4,250,0.2873
4,260,0.3380
4,270,0.3427
4,280,0.3465
4,290,0.3205
4,300,0.2657
4,310,0.3292
4,320,0.2963
4,330,0.2857
4,340,0.3741
4,350,0.3402
4,360,0.3197
4,370,0.2942
4,380,0.2908
4,390,0.3156
4,400,0.2721
4,410,0.2593
4,420,0.3123
4,430,0.3119
4,440,0.3005
4,450,0.2756
4,460,0.3129
4,470,0.2903
4,480,0.2739
4,490,0.3303
4,500,0.3675
4,510,0.3408
4,520,0.3312
4,530,0.3119
4,540,0.2923
4,550,0.3033
4,560,0.2870
4,570,0.2706
4,580,0.2939
4,590,0.3092
4,600,0.2936
4,610,0.2655
4,620,0.2577
4,630,0.2968
4,640,0.3345
4,650,0.3049
4,660,0.3966
4,670,0.3449
4,680,0.2441
4,690,0.2723
4,700,0.2970
4,710,0.2978
4,720,0.3710
4,730,0.2977
4,740,0.3048
4,750,0.2770
4,760,0.2400
4,770,0.2908
4,780,0.3055
4,790,0.3171
4,800,0.2925
4,810,0.2707
4,820,0.2956
4,830,0.3844
4,840,0.3016
4,850,0.2311
4,860,0.2474
4,870,0.2757
4,880,0.2887
4,890,0.3034
4,900,0.3258
4,910,0.3252
4,920,0.2811
4,930,0.2910
5,10,0.3161
5,20,0.3214
5,30,0.3006
5,40,0.3068
5,50,0.2455
5,60,0.2832
5,70,0.2351
5,80,0.2974
5,90,0.2646
5,100,0.3311
5,110,0.2646
5,120,0.2886
5,130,0.2583
5,140,0.2049
5,150,0.2842
5,160,0.2888
5,170,0.2892
5,180,0.3233
5,190,0.3112
5,200,0.2689
5,210,0.2381
5,220,0.2930
5,230,0.2661
5,240,0.2208
5,250,0.2796
5,260,0.3080
5,270,0.4153
5,280,0.4981
5,290,0.4318
5,300,0.3508
5,310,0.2689
5,320,0.3129
5,330,0.3145
5,340,0.3178
5,350,0.2995
5,360,0.3012
5,370,0.2682
5,380,0.2210
5,390,0.2577
5,400,0.2489
5,410,0.3103
5,420,0.2938
5,430,0.2875
5,440,0.2495
5,450,0.3368
5,460,0.2812
5,470,0.2572
5,480,0.2542
5,490,0.2509
5,500,0.3052
5,510,0.2461
5,520,0.2509
5,530,0.2152
5,540,0.2551
5,550,0.2504
5,560,0.3199
5,570,0.3078
5,580,0.2501
5,590,0.2909
5,600,0.3446
5,610,0.2499
5,620,0.2598
5,630,0.3012
5,640,0.2761
5,650,0.3087
5,660,0.2481
5,670,0.2411
5,680,0.2501
5,690,0.2267
5,700,0.2590
5,710,0.2823
5,720,0.2460
5,730,0.3043
5,740,0.3261
5,750,0.2262
5,760,0.2881
5,770,0.2454
5,780,0.2827
5,790,0.2995
5,800,0.2060
5,810,0.3088
5,820,0.3265
5,830,0.3884
5,840,0.3103
5,850,0.2686
5,860,0.2516
5,870,0.2929
5,880,0.2828
5,890,0.2799
5,900,0.2613
5,910,0.2271
5,920,0.2351
5,930,0.2685
